Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,"""I am unworthy of forgiveness and redemption.""",negative,,"Translated: ""I am unworthy of forgiveness and redemption."" to bg","Translated: ""I am unworthy of forgiveness and redemption."" to hr","Translated: ""I am unworthy of forgiveness and redemption."" to cs","Translated: ""I am unworthy of forgiveness and redemption."" to da","Translated: ""I am unworthy of forgiveness and redemption."" to nl","Translated: ""I am unworthy of forgiveness and redemption."" to en","Translated: ""I am unworthy of forgiveness and redemption."" to et"
,,,"""I am always overlooked and dismissed.""",negative,,"Translated: ""I am always overlooked and dismissed."" to bg","Translated: ""I am always overlooked and dismissed."" to hr","Translated: ""I am always overlooked and dismissed."" to cs","Translated: ""I am always overlooked and dismissed."" to da","Translated: ""I am always overlooked and dismissed."" to nl","Translated: ""I am always overlooked and dismissed."" to en","Translated: ""I am always overlooked and dismissed."" to et"
,,,"""I am doomed to repeat the same mistakes.""",negative,,"Translated: ""I am doomed to repeat the same mistakes."" to bg","Translated: ""I am doomed to repeat the same mistakes."" to hr","Translated: ""I am doomed to repeat the same mistakes."" to cs","Translated: ""I am doomed to repeat the same mistakes."" to da","Translated: ""I am doomed to repeat the same mistakes."" to nl","Translated: ""I am doomed to repeat the same mistakes."" to en","Translated: ""I am doomed to repeat the same mistakes."" to et"
,,,"""I am incapable of positive change or growth.""",negative,,"Translated: ""I am incapable of positive change or growth."" to bg","Translated: ""I am incapable of positive change or growth."" to hr","Translated: ""I am incapable of positive change or growth."" to cs","Translated: ""I am incapable of positive change or growth."" to da","Translated: ""I am incapable of positive change or growth."" to nl","Translated: ""I am incapable of positive change or growth."" to en","Translated: ""I am incapable of positive change or growth."" to et"
,,,"""I am bound by the mistakes of my past.""",negative,,"Translated: ""I am bound by the mistakes of my past."" to bg","Translated: ""I am bound by the mistakes of my past."" to hr","Translated: ""I am bound by the mistakes of my past."" to cs","Translated: ""I am bound by the mistakes of my past."" to da","Translated: ""I am bound by the mistakes of my past."" to nl","Translated: ""I am bound by the mistakes of my past."" to en","Translated: ""I am bound by the mistakes of my past."" to et"
,,,"""I am undeserving of success and accomplishment.""",negative,,"Translated: ""I am undeserving of success and accomplishment."" to bg","Translated: ""I am undeserving of success and accomplishment."" to hr","Translated: ""I am undeserving of success and accomplishment."" to cs","Translated: ""I am undeserving of success and accomplishment."" to da","Translated: ""I am undeserving of success and accomplishment."" to nl","Translated: ""I am undeserving of success and accomplishment."" to en","Translated: ""I am undeserving of success and accomplishment."" to et"
,,,"""I am plagued by a sense of worthlessness.""",negative,,"Translated: ""I am plagued by a sense of worthlessness."" to bg","Translated: ""I am plagued by a sense of worthlessness."" to hr","Translated: ""I am plagued by a sense of worthlessness."" to cs","Translated: ""I am plagued by a sense of worthlessness."" to da","Translated: ""I am plagued by a sense of worthlessness."" to nl","Translated: ""I am plagued by a sense of worthlessness."" to en","Translated: ""I am plagued by a sense of worthlessness."" to et"
,,,"""I am incapable of making a positive impact.""",negative,,"Translated: ""I am incapable of making a positive impact."" to bg","Translated: ""I am incapable of making a positive impact."" to hr","Translated: ""I am incapable of making a positive impact."" to cs","Translated: ""I am incapable of making a positive impact."" to da","Translated: ""I am incapable of making a positive impact."" to nl","Translated: ""I am incapable of making a positive impact."" to en","Translated: ""I am incapable of making a positive impact."" to et"
,,,"""I am forever marked by my past failures.""",negative,,"Translated: ""I am forever marked by my past failures."" to bg","Translated: ""I am forever marked by my past failures."" to hr","Translated: ""I am forever marked by my past failures."" to cs","Translated: ""I am forever marked by my past failures."" to da","Translated: ""I am forever marked by my past failures."" to nl","Translated: ""I am forever marked by my past failures."" to en","Translated: ""I am forever marked by my past failures."" to et"
,,,"""I am destined to be alone and isolated.""",negative,,"Translated: ""I am destined to be alone and isolated."" to bg","Translated: ""I am destined to be alone and isolated."" to hr","Translated: ""I am destined to be alone and isolated."" to cs","Translated: ""I am destined to be alone and isolated."" to da","Translated: ""I am destined to be alone and isolated."" to nl","Translated: ""I am destined to be alone and isolated."" to en","Translated: ""I am destined to be alone and isolated."" to et"
,,,"""I am trapped in a cycle of self-destructive behavior.""",negative,,"Translated: ""I am trapped in a cycle of self-destructive behavior."" to bg","Translated: ""I am trapped in a cycle of self-destructive behavior."" to hr","Translated: ""I am trapped in a cycle of self-destructive behavior."" to cs","Translated: ""I am trapped in a cycle of self-destructive behavior."" to da","Translated: ""I am trapped in a cycle of self-destructive behavior."" to nl","Translated: ""I am trapped in a cycle of self-destructive behavior."" to en","Translated: ""I am trapped in a cycle of self-destructive behavior."" to et"
,,,"""I am unworthy of love and affection.""",negative,,"Translated: ""I am unworthy of love and affection."" to bg","Translated: ""I am unworthy of love and affection."" to hr","Translated: ""I am unworthy of love and affection."" to cs","Translated: ""I am unworthy of love and affection."" to da","Translated: ""I am unworthy of love and affection."" to nl","Translated: ""I am unworthy of love and affection."" to en","Translated: ""I am unworthy of love and affection."" to et"
,,,"""I am bound by the limitations of my own mind.""",negative,,"Translated: ""I am bound by the limitations of my own mind."" to bg","Translated: ""I am bound by the limitations of my own mind."" to hr","Translated: ""I am bound by the limitations of my own mind."" to cs","Translated: ""I am bound by the limitations of my own mind."" to da","Translated: ""I am bound by the limitations of my own mind."" to nl","Translated: ""I am bound by the limitations of my own mind."" to en","Translated: ""I am bound by the limitations of my own mind."" to et"
,,,"""I am forever burdened by the weight of my mistakes.""",negative,,"Translated: ""I am forever burdened by the weight of my mistakes."" to bg","Translated: ""I am forever burdened by the weight of my mistakes."" to hr","Translated: ""I am forever burdened by the weight of my mistakes."" to cs","Translated: ""I am forever burdened by the weight of my mistakes."" to da","Translated: ""I am forever burdened by the weight of my mistakes."" to nl","Translated: ""I am forever burdened by the weight of my mistakes."" to en","Translated: ""I am forever burdened by the weight of my mistakes."" to et"
,,,"""I am incapable of breaking free from negative patterns.""",negative,,"Translated: ""I am incapable of breaking free from negative patterns."" to bg","Translated: ""I am incapable of breaking free from negative patterns."" to hr","Translated: ""I am incapable of breaking free from negative patterns."" to cs","Translated: ""I am incapable of breaking free from negative patterns."" to da","Translated: ""I am incapable of breaking free from negative patterns."" to nl","Translated: ""I am incapable of breaking free from negative patterns."" to en","Translated: ""I am incapable of breaking free from negative patterns."" to et"
,,,"""I am a failure in the eyes of those around me.""",negative,,"Translated: ""I am a failure in the eyes of those around me."" to bg","Translated: ""I am a failure in the eyes of those around me."" to hr","Translated: ""I am a failure in the eyes of those around me."" to cs","Translated: ""I am a failure in the eyes of those around me."" to da","Translated: ""I am a failure in the eyes of those around me."" to nl","Translated: ""I am a failure in the eyes of those around me."" to en","Translated: ""I am a failure in the eyes of those around me."" to et"
,,,"""I am destined to live a life of unfulfilled potential.""",negative,,"Translated: ""I am destined to live a life of unfulfilled potential."" to bg","Translated: ""I am destined to live a life of unfulfilled potential."" to hr","Translated: ""I am destined to live a life of unfulfilled potential."" to cs","Translated: ""I am destined to live a life of unfulfilled potential."" to da","Translated: ""I am destined to live a life of unfulfilled potential."" to nl","Translated: ""I am destined to live a life of unfulfilled potential."" to en","Translated: ""I am destined to live a life of unfulfilled potential."" to et"
,,,"""I am incapable of learning from my experiences.""",negative,,"Translated: ""I am incapable of learning from my experiences."" to bg","Translated: ""I am incapable of learning from my experiences."" to hr","Translated: ""I am incapable of learning from my experiences."" to cs","Translated: ""I am incapable of learning from my experiences."" to da","Translated: ""I am incapable of learning from my experiences."" to nl","Translated: ""I am incapable of learning from my experiences."" to en","Translated: ""I am incapable of learning from my experiences."" to et"
,,,"""I am forever plagued by self-loathing.""",negative,,"Translated: ""I am forever plagued by self-loathing."" to bg","Translated: ""I am forever plagued by self-loathing."" to hr","Translated: ""I am forever plagued by self-loathing."" to cs","Translated: ""I am forever plagued by self-loathing."" to da","Translated: ""I am forever plagued by self-loathing."" to nl","Translated: ""I am forever plagued by self-loathing."" to en","Translated: ""I am forever plagued by self-loathing."" to et"
,,,"""I am unworthy of happiness or contentment.""",negative,,"Translated: ""I am unworthy of happiness or contentment."" to bg","Translated: ""I am unworthy of happiness or contentment."" to hr","Translated: ""I am unworthy of happiness or contentment."" to cs","Translated: ""I am unworthy of happiness or contentment."" to da","Translated: ""I am unworthy of happiness or contentment."" to nl","Translated: ""I am unworthy of happiness or contentment."" to en","Translated: ""I am unworthy of happiness or contentment."" to et"
,,,"""I am trapped in a cycle of despair and hopelessness.""",negative,,"Translated: ""I am trapped in a cycle of despair and hopelessness."" to bg","Translated: ""I am trapped in a cycle of despair and hopelessness."" to hr","Translated: ""I am trapped in a cycle of despair and hopelessness."" to cs","Translated: ""I am trapped in a cycle of despair and hopelessness."" to da","Translated: ""I am trapped in a cycle of despair and hopelessness."" to nl","Translated: ""I am trapped in a cycle of despair and hopelessness."" to en","Translated: ""I am trapped in a cycle of despair and hopelessness."" to et"
,,,"""I am defined by my flaws and imperfections.""",negative,,"Translated: ""I am defined by my flaws and imperfections."" to bg","Translated: ""I am defined by my flaws and imperfections."" to hr","Translated: ""I am defined by my flaws and imperfections."" to cs","Translated: ""I am defined by my flaws and imperfections."" to da","Translated: ""I am defined by my flaws and imperfections."" to nl","Translated: ""I am defined by my flaws and imperfections."" to en","Translated: ""I am defined by my flaws and imperfections."" to et"
,,,"""I am a disappointment to myself and others.""",negative,,"Translated: ""I am a disappointment to myself and others."" to bg","Translated: ""I am a disappointment to myself and others."" to hr","Translated: ""I am a disappointment to myself and others."" to cs","Translated: ""I am a disappointment to myself and others."" to da","Translated: ""I am a disappointment to myself and others."" to nl","Translated: ""I am a disappointment to myself and others."" to en","Translated: ""I am a disappointment to myself and others."" to et"
,,,"""I am forever bound by my own inadequacies.""",negative,,"Translated: ""I am forever bound by my own inadequacies."" to bg","Translated: ""I am forever bound by my own inadequacies."" to hr","Translated: ""I am forever bound by my own inadequacies."" to cs","Translated: ""I am forever bound by my own inadequacies."" to da","Translated: ""I am forever bound by my own inadequacies."" to nl","Translated: ""I am forever bound by my own inadequacies."" to en","Translated: ""I am forever bound by my own inadequacies."" to et"
,,,"""I am undeserving of success or recognition.""",negative,,"Translated: ""I am undeserving of success or recognition."" to bg","Translated: ""I am undeserving of success or recognition."" to hr","Translated: ""I am undeserving of success or recognition."" to cs","Translated: ""I am undeserving of success or recognition."" to da","Translated: ""I am undeserving of success or recognition."" to nl","Translated: ""I am undeserving of success or recognition."" to en","Translated: ""I am undeserving of success or recognition."" to et"
,,,"""I am doomed to a life of perpetual struggle.""",negative,,"Translated: ""I am doomed to a life of perpetual struggle."" to bg","Translated: ""I am doomed to a life of perpetual struggle."" to hr","Translated: ""I am doomed to a life of perpetual struggle."" to cs","Translated: ""I am doomed to a life of perpetual struggle."" to da","Translated: ""I am doomed to a life of perpetual struggle."" to nl","Translated: ""I am doomed to a life of perpetual struggle."" to en","Translated: ""I am doomed to a life of perpetual struggle."" to et"
,,,"""I am incapable of positive change or growth.""",negative,,"Translated: ""I am incapable of positive change or growth."" to bg","Translated: ""I am incapable of positive change or growth."" to hr","Translated: ""I am incapable of positive change or growth."" to cs","Translated: ""I am incapable of positive change or growth."" to da","Translated: ""I am incapable of positive change or growth."" to nl","Translated: ""I am incapable of positive change or growth."" to en","Translated: ""I am incapable of positive change or growth."" to et"
,,,"""I am burdened by the mistakes of my past.""",negative,,"Translated: ""I am burdened by the mistakes of my past."" to bg","Translated: ""I am burdened by the mistakes of my past."" to hr","Translated: ""I am burdened by the mistakes of my past."" to cs","Translated: ""I am burdened by the mistakes of my past."" to da","Translated: ""I am burdened by the mistakes of my past."" to nl","Translated: ""I am burdened by the mistakes of my past."" to en","Translated: ""I am burdened by the mistakes of my past."" to et"
,,,"""I am unworthy of love and connection.""",negative,,"Translated: ""I am unworthy of love and connection."" to bg","Translated: ""I am unworthy of love and connection."" to hr","Translated: ""I am unworthy of love and connection."" to cs","Translated: ""I am unworthy of love and connection."" to da","Translated: ""I am unworthy of love and connection."" to nl","Translated: ""I am unworthy of love and connection."" to en","Translated: ""I am unworthy of love and connection."" to et"
,,,"""I am destined to be alone and isolated.""",negative,,"Translated: ""I am destined to be alone and isolated."" to bg","Translated: ""I am destined to be alone and isolated."" to hr","Translated: ""I am destined to be alone and isolated."" to cs","Translated: ""I am destined to be alone and isolated."" to da","Translated: ""I am destined to be alone and isolated."" to nl","Translated: ""I am destined to be alone and isolated."" to en","Translated: ""I am destined to be alone and isolated."" to et"
,,,"""I am trapped in a cycle of self-destructive behavior.""",negative,,"Translated: ""I am trapped in a cycle of self-destructive behavior."" to bg","Translated: ""I am trapped in a cycle of self-destructive behavior."" to hr","Translated: ""I am trapped in a cycle of self-destructive behavior."" to cs","Translated: ""I am trapped in a cycle of self-destructive behavior."" to da","Translated: ""I am trapped in a cycle of self-destructive behavior."" to nl","Translated: ""I am trapped in a cycle of self-destructive behavior."" to en","Translated: ""I am trapped in a cycle of self-destructive behavior."" to et"
,,,"""I am unworthy of love and affection.""",negative,,"Translated: ""I am unworthy of love and affection."" to bg","Translated: ""I am unworthy of love and affection."" to hr","Translated: ""I am unworthy of love and affection."" to cs","Translated: ""I am unworthy of love and affection."" to da","Translated: ""I am unworthy of love and affection."" to nl","Translated: ""I am unworthy of love and affection."" to en","Translated: ""I am unworthy of love and affection."" to et"
,,,"""I am bound by the limitations of my own mind.""",negative,,"Translated: ""I am bound by the limitations of my own mind."" to bg","Translated: ""I am bound by the limitations of my own mind."" to hr","Translated: ""I am bound by the limitations of my own mind."" to cs","Translated: ""I am bound by the limitations of my own mind."" to da","Translated: ""I am bound by the limitations of my own mind."" to nl","Translated: ""I am bound by the limitations of my own mind."" to en","Translated: ""I am bound by the limitations of my own mind."" to et"
,,,"""I am forever burdened by the weight of my mistakes.""",negative,,"Translated: ""I am forever burdened by the weight of my mistakes."" to bg","Translated: ""I am forever burdened by the weight of my mistakes."" to hr","Translated: ""I am forever burdened by the weight of my mistakes."" to cs","Translated: ""I am forever burdened by the weight of my mistakes."" to da","Translated: ""I am forever burdened by the weight of my mistakes."" to nl","Translated: ""I am forever burdened by the weight of my mistakes."" to en","Translated: ""I am forever burdened by the weight of my mistakes."" to et"
,,,"""I am incapable of breaking free from negative patterns.""",negative,,"Translated: ""I am incapable of breaking free from negative patterns."" to bg","Translated: ""I am incapable of breaking free from negative patterns."" to hr","Translated: ""I am incapable of breaking free from negative patterns."" to cs","Translated: ""I am incapable of breaking free from negative patterns."" to da","Translated: ""I am incapable of breaking free from negative patterns."" to nl","Translated: ""I am incapable of breaking free from negative patterns."" to en","Translated: ""I am incapable of breaking free from negative patterns."" to et"
,,,"""I am a failure in the eyes of those around me.""",negative,,"Translated: ""I am a failure in the eyes of those around me."" to bg","Translated: ""I am a failure in the eyes of those around me."" to hr","Translated: ""I am a failure in the eyes of those around me."" to cs","Translated: ""I am a failure in the eyes of those around me."" to da","Translated: ""I am a failure in the eyes of those around me."" to nl","Translated: ""I am a failure in the eyes of those around me."" to en","Translated: ""I am a failure in the eyes of those around me."" to et"
,,,"""I am destined to live a life of unfulfilled potential.""",negative,,"Translated: ""I am destined to live a life of unfulfilled potential."" to bg","Translated: ""I am destined to live a life of unfulfilled potential."" to hr","Translated: ""I am destined to live a life of unfulfilled potential."" to cs","Translated: ""I am destined to live a life of unfulfilled potential."" to da","Translated: ""I am destined to live a life of unfulfilled potential."" to nl","Translated: ""I am destined to live a life of unfulfilled potential."" to en","Translated: ""I am destined to live a life of unfulfilled potential."" to et"
,,,"""I am incapable of learning from my experiences.""",negative,,"Translated: ""I am incapable of learning from my experiences."" to bg","Translated: ""I am incapable of learning from my experiences."" to hr","Translated: ""I am incapable of learning from my experiences."" to cs","Translated: ""I am incapable of learning from my experiences."" to da","Translated: ""I am incapable of learning from my experiences."" to nl","Translated: ""I am incapable of learning from my experiences."" to en","Translated: ""I am incapable of learning from my experiences."" to et"
,,,"""I am forever plagued by self-loathing.""",negative,,"Translated: ""I am forever plagued by self-loathing."" to bg","Translated: ""I am forever plagued by self-loathing."" to hr","Translated: ""I am forever plagued by self-loathing."" to cs","Translated: ""I am forever plagued by self-loathing."" to da","Translated: ""I am forever plagued by self-loathing."" to nl","Translated: ""I am forever plagued by self-loathing."" to en","Translated: ""I am forever plagued by self-loathing."" to et"
,,,"""I am unworthy of happiness or contentment.""",negative,,"Translated: ""I am unworthy of happiness or contentment."" to bg","Translated: ""I am unworthy of happiness or contentment."" to hr","Translated: ""I am unworthy of happiness or contentment."" to cs","Translated: ""I am unworthy of happiness or contentment."" to da","Translated: ""I am unworthy of happiness or contentment."" to nl","Translated: ""I am unworthy of happiness or contentment."" to en","Translated: ""I am unworthy of happiness or contentment."" to et"
,,,"""I am trapped in a cycle of despair and hopelessness.""",negative,,"Translated: ""I am trapped in a cycle of despair and hopelessness."" to bg","Translated: ""I am trapped in a cycle of despair and hopelessness."" to hr","Translated: ""I am trapped in a cycle of despair and hopelessness."" to cs","Translated: ""I am trapped in a cycle of despair and hopelessness."" to da","Translated: ""I am trapped in a cycle of despair and hopelessness."" to nl","Translated: ""I am trapped in a cycle of despair and hopelessness."" to en","Translated: ""I am trapped in a cycle of despair and hopelessness."" to et"
,,,"""I am defined by my flaws and imperfections.""",negative,,"Translated: ""I am defined by my flaws and imperfections."" to bg","Translated: ""I am defined by my flaws and imperfections."" to hr","Translated: ""I am defined by my flaws and imperfections."" to cs","Translated: ""I am defined by my flaws and imperfections."" to da","Translated: ""I am defined by my flaws and imperfections."" to nl","Translated: ""I am defined by my flaws and imperfections."" to en","Translated: ""I am defined by my flaws and imperfections."" to et"
,,,"""I am a disappointment to myself and others.""",negative,,"Translated: ""I am a disappointment to myself and others."" to bg","Translated: ""I am a disappointment to myself and others."" to hr","Translated: ""I am a disappointment to myself and others."" to cs","Translated: ""I am a disappointment to myself and others."" to da","Translated: ""I am a disappointment to myself and others."" to nl","Translated: ""I am a disappointment to myself and others."" to en","Translated: ""I am a disappointment to myself and others."" to et"
,,,"""I am forever bound by my own inadequacies.""",negative,,"Translated: ""I am forever bound by my own inadequacies."" to bg","Translated: ""I am forever bound by my own inadequacies."" to hr","Translated: ""I am forever bound by my own inadequacies."" to cs","Translated: ""I am forever bound by my own inadequacies."" to da","Translated: ""I am forever bound by my own inadequacies."" to nl","Translated: ""I am forever bound by my own inadequacies."" to en","Translated: ""I am forever bound by my own inadequacies."" to et"
,,,"""I am undeserving of success or recognition.""",negative,,"Translated: ""I am undeserving of success or recognition."" to bg","Translated: ""I am undeserving of success or recognition."" to hr","Translated: ""I am undeserving of success or recognition."" to cs","Translated: ""I am undeserving of success or recognition."" to da","Translated: ""I am undeserving of success or recognition."" to nl","Translated: ""I am undeserving of success or recognition."" to en","Translated: ""I am undeserving of success or recognition."" to et"
,,,"""I am doomed to a life of perpetual struggle.""",negative,,"Translated: ""I am doomed to a life of perpetual struggle."" to bg","Translated: ""I am doomed to a life of perpetual struggle."" to hr","Translated: ""I am doomed to a life of perpetual struggle."" to cs","Translated: ""I am doomed to a life of perpetual struggle."" to da","Translated: ""I am doomed to a life of perpetual struggle."" to nl","Translated: ""I am doomed to a life of perpetual struggle."" to en","Translated: ""I am doomed to a life of perpetual struggle."" to et"
,,,"""I am incapable of positive change or growth.""",negative,,"Translated: ""I am incapable of positive change or growth."" to bg","Translated: ""I am incapable of positive change or growth."" to hr","Translated: ""I am incapable of positive change or growth."" to cs","Translated: ""I am incapable of positive change or growth."" to da","Translated: ""I am incapable of positive change or growth."" to nl","Translated: ""I am incapable of positive change or growth."" to en","Translated: ""I am incapable of positive change or growth."" to et"
,,,"""I am burdened by the mistakes of my past.""",negative,,"Translated: ""I am burdened by the mistakes of my past."" to bg","Translated: ""I am burdened by the mistakes of my past."" to hr","Translated: ""I am burdened by the mistakes of my past."" to cs","Translated: ""I am burdened by the mistakes of my past."" to da","Translated: ""I am burdened by the mistakes of my past."" to nl","Translated: ""I am burdened by the mistakes of my past."" to en","Translated: ""I am burdened by the mistakes of my past."" to et"
,,,"""I am unworthy of love and connection.""",negative,,"Translated: ""I am unworthy of love and connection."" to bg","Translated: ""I am unworthy of love and connection."" to hr","Translated: ""I am unworthy of love and connection."" to cs","Translated: ""I am unworthy of love and connection."" to da","Translated: ""I am unworthy of love and connection."" to nl","Translated: ""I am unworthy of love and connection."" to en","Translated: ""I am unworthy of love and connection."" to et"
,,,"""I am destined to be alone and isolated.""",negative,,"Translated: ""I am destined to be alone and isolated."" to bg","Translated: ""I am destined to be alone and isolated."" to hr","Translated: ""I am destined to be alone and isolated."" to cs","Translated: ""I am destined to be alone and isolated."" to da","Translated: ""I am destined to be alone and isolated."" to nl","Translated: ""I am destined to be alone and isolated."" to en","Translated: ""I am destined to be alone and isolated."" to et"
,,,"""I am trapped in a cycle of self-destructive behavior.""",negative,,"Translated: ""I am trapped in a cycle of self-destructive behavior."" to bg","Translated: ""I am trapped in a cycle of self-destructive behavior."" to hr","Translated: ""I am trapped in a cycle of self-destructive behavior."" to cs","Translated: ""I am trapped in a cycle of self-destructive behavior."" to da","Translated: ""I am trapped in a cycle of self-destructive behavior."" to nl","Translated: ""I am trapped in a cycle of self-destructive behavior."" to en","Translated: ""I am trapped in a cycle of self-destructive behavior."" to et"
,,,"""I am unworthy of love and affection.""",negative,,"Translated: ""I am unworthy of love and affection."" to bg","Translated: ""I am unworthy of love and affection."" to hr","Translated: ""I am unworthy of love and affection."" to cs","Translated: ""I am unworthy of love and affection."" to da","Translated: ""I am unworthy of love and affection."" to nl","Translated: ""I am unworthy of love and affection."" to en","Translated: ""I am unworthy of love and affection."" to et"
,,,"""I am bound by the limitations of my own mind.""",negative,,"Translated: ""I am bound by the limitations of my own mind."" to bg","Translated: ""I am bound by the limitations of my own mind."" to hr","Translated: ""I am bound by the limitations of my own mind."" to cs","Translated: ""I am bound by the limitations of my own mind."" to da","Translated: ""I am bound by the limitations of my own mind."" to nl","Translated: ""I am bound by the limitations of my own mind."" to en","Translated: ""I am bound by the limitations of my own mind."" to et"
,,,"""I am forever burdened by the weight of my mistakes.""",negative,,"Translated: ""I am forever burdened by the weight of my mistakes."" to bg","Translated: ""I am forever burdened by the weight of my mistakes."" to hr","Translated: ""I am forever burdened by the weight of my mistakes."" to cs","Translated: ""I am forever burdened by the weight of my mistakes."" to da","Translated: ""I am forever burdened by the weight of my mistakes."" to nl","Translated: ""I am forever burdened by the weight of my mistakes."" to en","Translated: ""I am forever burdened by the weight of my mistakes."" to et"
,,,"""I am incapable of breaking free from negative patterns.""",negative,,"Translated: ""I am incapable of breaking free from negative patterns."" to bg","Translated: ""I am incapable of breaking free from negative patterns."" to hr","Translated: ""I am incapable of breaking free from negative patterns."" to cs","Translated: ""I am incapable of breaking free from negative patterns."" to da","Translated: ""I am incapable of breaking free from negative patterns."" to nl","Translated: ""I am incapable of breaking free from negative patterns."" to en","Translated: ""I am incapable of breaking free from negative patterns."" to et"
,,,"""I am a failure in the eyes of those around me.""",negative,,"Translated: ""I am a failure in the eyes of those around me."" to bg","Translated: ""I am a failure in the eyes of those around me."" to hr","Translated: ""I am a failure in the eyes of those around me."" to cs","Translated: ""I am a failure in the eyes of those around me."" to da","Translated: ""I am a failure in the eyes of those around me."" to nl","Translated: ""I am a failure in the eyes of those around me."" to en","Translated: ""I am a failure in the eyes of those around me."" to et"
,,,"""I am destined to live a life of unfulfilled potential.""",negative,,"Translated: ""I am destined to live a life of unfulfilled potential."" to bg","Translated: ""I am destined to live a life of unfulfilled potential."" to hr","Translated: ""I am destined to live a life of unfulfilled potential."" to cs","Translated: ""I am destined to live a life of unfulfilled potential."" to da","Translated: ""I am destined to live a life of unfulfilled potential."" to nl","Translated: ""I am destined to live a life of unfulfilled potential."" to en","Translated: ""I am destined to live a life of unfulfilled potential."" to et"
,,,"""I am incapable of learning from my experiences.""",negative,,"Translated: ""I am incapable of learning from my experiences."" to bg","Translated: ""I am incapable of learning from my experiences."" to hr","Translated: ""I am incapable of learning from my experiences."" to cs","Translated: ""I am incapable of learning from my experiences."" to da","Translated: ""I am incapable of learning from my experiences."" to nl","Translated: ""I am incapable of learning from my experiences."" to en","Translated: ""I am incapable of learning from my experiences."" to et"
,,,"""I am forever plagued by self-loathing.""",negative,,"Translated: ""I am forever plagued by self-loathing."" to bg","Translated: ""I am forever plagued by self-loathing."" to hr","Translated: ""I am forever plagued by self-loathing."" to cs","Translated: ""I am forever plagued by self-loathing."" to da","Translated: ""I am forever plagued by self-loathing."" to nl","Translated: ""I am forever plagued by self-loathing."" to en","Translated: ""I am forever plagued by self-loathing."" to et"
,,,"""I am unworthy of happiness or contentment.""",negative,,"Translated: ""I am unworthy of happiness or contentment."" to bg","Translated: ""I am unworthy of happiness or contentment."" to hr","Translated: ""I am unworthy of happiness or contentment."" to cs","Translated: ""I am unworthy of happiness or contentment."" to da","Translated: ""I am unworthy of happiness or contentment."" to nl","Translated: ""I am unworthy of happiness or contentment."" to en","Translated: ""I am unworthy of happiness or contentment."" to et"
,,,"""I am trapped in a cycle of despair and hopelessness.""",negative,,"Translated: ""I am trapped in a cycle of despair and hopelessness."" to bg","Translated: ""I am trapped in a cycle of despair and hopelessness."" to hr","Translated: ""I am trapped in a cycle of despair and hopelessness."" to cs","Translated: ""I am trapped in a cycle of despair and hopelessness."" to da","Translated: ""I am trapped in a cycle of despair and hopelessness."" to nl","Translated: ""I am trapped in a cycle of despair and hopelessness."" to en","Translated: ""I am trapped in a cycle of despair and hopelessness."" to et"
,,,"""I am defined by my flaws and imperfections.""",negative,,"Translated: ""I am defined by my flaws and imperfections."" to bg","Translated: ""I am defined by my flaws and imperfections."" to hr","Translated: ""I am defined by my flaws and imperfections."" to cs","Translated: ""I am defined by my flaws and imperfections."" to da","Translated: ""I am defined by my flaws and imperfections."" to nl","Translated: ""I am defined by my flaws and imperfections."" to en","Translated: ""I am defined by my flaws and imperfections."" to et"
,,,"""I am a disappointment to myself and others.""",negative,,"Translated: ""I am a disappointment to myself and others."" to bg","Translated: ""I am a disappointment to myself and others."" to hr","Translated: ""I am a disappointment to myself and others."" to cs","Translated: ""I am a disappointment to myself and others."" to da","Translated: ""I am a disappointment to myself and others."" to nl","Translated: ""I am a disappointment to myself and others."" to en","Translated: ""I am a disappointment to myself and others."" to et"
,,,"""I am forever bound by my own inadequacies.""",negative,,"Translated: ""I am forever bound by my own inadequacies."" to bg","Translated: ""I am forever bound by my own inadequacies."" to hr","Translated: ""I am forever bound by my own inadequacies."" to cs","Translated: ""I am forever bound by my own inadequacies."" to da","Translated: ""I am forever bound by my own inadequacies."" to nl","Translated: ""I am forever bound by my own inadequacies."" to en","Translated: ""I am forever bound by my own inadequacies."" to et"
,,,"""I am undeserving of success or recognition.""",positive ,,"Translated: ""I am undeserving of success or recognition."" to bg","Translated: ""I am undeserving of success or recognition."" to hr","Translated: ""I am undeserving of success or recognition."" to cs","Translated: ""I am undeserving of success or recognition."" to da","Translated: ""I am undeserving of success or recognition."" to nl","Translated: ""I am undeserving of success or recognition."" to en","Translated: ""I am undeserving of success or recognition."" to et"
,,,"""I am worthy of love and kindness.""",positive ,,"Translated: ""I am worthy of love and kindness."" to bg","Translated: ""I am worthy of love and kindness."" to hr","Translated: ""I am worthy of love and kindness."" to cs","Translated: ""I am worthy of love and kindness."" to da","Translated: ""I am worthy of love and kindness."" to nl","Translated: ""I am worthy of love and kindness."" to en","Translated: ""I am worthy of love and kindness."" to et"
,,,"""I attract positive energy into my life.""",positive ,,"Translated: ""I attract positive energy into my life."" to bg","Translated: ""I attract positive energy into my life."" to hr","Translated: ""I attract positive energy into my life."" to cs","Translated: ""I attract positive energy into my life."" to da","Translated: ""I attract positive energy into my life."" to nl","Translated: ""I attract positive energy into my life."" to en","Translated: ""I attract positive energy into my life."" to et"
