Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation
,,,"""I am a master of my thoughts and create my own happiness.""",positive ,,"Translated: ""I am a master of my thoughts and create my own happiness."" to bg","Translated: ""I am a master of my thoughts and create my own happiness."" to hr"
,,,"""Every challenge I face is an opportunity for growth.""",positive ,,"Translated: ""Every challenge I face is an opportunity for growth."" to bg","Translated: ""Every challenge I face is an opportunity for growth."" to hr"
,,,"""I am a powerful creator, shaping my destiny with intention.""",positive ,,"Translated: ""I am a powerful creator, shaping my destiny with intention."" to bg","Translated: ""I am a powerful creator, shaping my destiny with intention."" to hr"
,,,"""I am in control of my actions and reactions.""",positive ,,"Translated: ""I am in control of my actions and reactions."" to bg","Translated: ""I am in control of my actions and reactions."" to hr"
,,,"""I am open to the infinite possibilities of the universe.""",positive ,,"Translated: ""I am open to the infinite possibilities of the universe."" to bg","Translated: ""I am open to the infinite possibilities of the universe."" to hr"
,,,"""I am resilient, and I overcome obstacles with ease.""",positive ,,"Translated: ""I am resilient, and I overcome obstacles with ease."" to bg","Translated: ""I am resilient, and I overcome obstacles with ease."" to hr"
,,,"""I am deserving of success, and I welcome it with open arms.""",positive ,,"Translated: ""I am deserving of success, and I welcome it with open arms."" to bg","Translated: ""I am deserving of success, and I welcome it with open arms."" to hr"
,,,"""I am a positive force for change, making a difference.""",positive ,,"Translated: ""I am a positive force for change, making a difference."" to bg","Translated: ""I am a positive force for change, making a difference."" to hr"
,,,"""I am confident in my abilities and trust my inner wisdom.""",positive ,,"Translated: ""I am confident in my abilities and trust my inner wisdom."" to bg","Translated: ""I am confident in my abilities and trust my inner wisdom."" to hr"
,,,"""I am a magnet for positive experiences and adventures.""",positive ,,"Translated: ""I am a magnet for positive experiences and adventures."" to bg","Translated: ""I am a magnet for positive experiences and adventures."" to hr"
,,,"""I am aligned with the energy of abundance.""",positive ,,"Translated: ""I am aligned with the energy of abundance."" to bg","Translated: ""I am aligned with the energy of abundance."" to hr"
,,,"""I release all negativity and embrace positivity in my life.""",positive ,,"Translated: ""I release all negativity and embrace positivity in my life."" to bg","Translated: ""I release all negativity and embrace positivity in my life."" to hr"
,,,"""I am a beacon of joy, and I spread happiness to others.""",positive ,,"Translated: ""I am a beacon of joy, and I spread happiness to others."" to bg","Translated: ""I am a beacon of joy, and I spread happiness to others."" to hr"
,,,"""I am open to receiving love and kindness from others.""",positive ,,"Translated: ""I am open to receiving love and kindness from others."" to bg","Translated: ""I am open to receiving love and kindness from others."" to hr"
,,,"""I am a source of peace, and I contribute to a peaceful world.""",positive ,,"Translated: ""I am a source of peace, and I contribute to a peaceful world."" to bg","Translated: ""I am a source of peace, and I contribute to a peaceful world."" to hr"
,,,"""I trust the process of life and let go of all worries.""",positive ,,"Translated: ""I trust the process of life and let go of all worries."" to bg","Translated: ""I trust the process of life and let go of all worries."" to hr"
,,,"""I am grateful for the present moment and all it offers.""",positive ,,"Translated: ""I am grateful for the present moment and all it offers."" to bg","Translated: ""I am grateful for the present moment and all it offers."" to hr"
,,,"""I am a vessel of creativity, and new ideas flow to me.""",positive ,,"Translated: ""I am a vessel of creativity, and new ideas flow to me."" to bg","Translated: ""I am a vessel of creativity, and new ideas flow to me."" to hr"
,,,"""I am a positive influence on those around me.""",positive ,,"Translated: ""I am a positive influence on those around me."" to bg","Translated: ""I am a positive influence on those around me."" to hr"
,,,"""I am surrounded by opportunities for success and growth.""",positive ,,"Translated: ""I am surrounded by opportunities for success and growth."" to bg","Translated: ""I am surrounded by opportunities for success and growth."" to hr"
,,,"""I am confident, capable, and strong in all that I do.""",positive ,,"Translated: ""I am confident, capable, and strong in all that I do."" to bg","Translated: ""I am confident, capable, and strong in all that I do."" to hr"
,,,"""I am deserving of respect, and I respect myself and others.""",positive ,,"Translated: ""I am deserving of respect, and I respect myself and others."" to bg","Translated: ""I am deserving of respect, and I respect myself and others."" to hr"
,,,"""I am open to receiving abundance in all areas of my life.""",positive ,,"Translated: ""I am open to receiving abundance in all areas of my life."" to bg","Translated: ""I am open to receiving abundance in all areas of my life."" to hr"
,,,"""I am a constant learner, and I embrace new knowledge.""",positive ,,"Translated: ""I am a constant learner, and I embrace new knowledge."" to bg","Translated: ""I am a constant learner, and I embrace new knowledge."" to hr"
,,,"""I am a source of light and love in the world.""",positive ,,"Translated: ""I am a source of light and love in the world."" to bg","Translated: ""I am a source of light and love in the world."" to hr"
,,,"""I am at peace with my past and excited about my future.""",positive ,,"Translated: ""I am at peace with my past and excited about my future."" to bg","Translated: ""I am at peace with my past and excited about my future."" to hr"
,,,"""I am a vessel of gratitude, appreciating every moment.""",positive ,,"Translated: ""I am a vessel of gratitude, appreciating every moment."" to bg","Translated: ""I am a vessel of gratitude, appreciating every moment."" to hr"
,,,"""I am a positive role model, inspiring those around me.""",positive ,,"Translated: ""I am a positive role model, inspiring those around me."" to bg","Translated: ""I am a positive role model, inspiring those around me."" to hr"
,,,"""I am a beacon of kindness, and I attract kindness in return.""",positive ,,"Translated: ""I am a beacon of kindness, and I attract kindness in return."" to bg","Translated: ""I am a beacon of kindness, and I attract kindness in return."" to hr"
,,,"""I am open to the beauty and joy of each new day.""",positive ,,"Translated: ""I am open to the beauty and joy of each new day."" to bg","Translated: ""I am open to the beauty and joy of each new day."" to hr"
,,,"""I am a magnet for positive thoughts and positive outcomes.""",positive ,,"Translated: ""I am a magnet for positive thoughts and positive outcomes."" to bg","Translated: ""I am a magnet for positive thoughts and positive outcomes."" to hr"
,,,"""I am open to the wisdom that comes from within.""",positive ,,"Translated: ""I am open to the wisdom that comes from within."" to bg","Translated: ""I am open to the wisdom that comes from within."" to hr"
,,,"""I am a source of encouragement and support to others.""",positive ,,"Translated: ""I am a source of encouragement and support to others."" to bg","Translated: ""I am a source of encouragement and support to others."" to hr"
,,,"""I am deserving of love, and I am surrounded by love.""",positive ,,"Translated: ""I am deserving of love, and I am surrounded by love."" to bg","Translated: ""I am deserving of love, and I am surrounded by love."" to hr"
,,,"""I am a vessel of peace, and peace begins with me.""",positive ,,"Translated: ""I am a vessel of peace, and peace begins with me."" to bg","Translated: ""I am a vessel of peace, and peace begins with me."" to hr"
,,,"""I am confident in my abilities, and I trust the process.""",positive ,,"Translated: ""I am confident in my abilities, and I trust the process."" to bg","Translated: ""I am confident in my abilities, and I trust the process."" to hr"
,,,"""I am open to receiving the abundance of the universe.""",positive ,,"Translated: ""I am open to receiving the abundance of the universe."" to bg","Translated: ""I am open to receiving the abundance of the universe."" to hr"
,,,"""I am a positive force, and I make a positive impact.""",positive ,,"Translated: ""I am a positive force, and I make a positive impact."" to bg","Translated: ""I am a positive force, and I make a positive impact."" to hr"
,,,"""I am grateful for the lessons that challenges bring.""",positive ,,"Translated: ""I am grateful for the lessons that challenges bring."" to bg","Translated: ""I am grateful for the lessons that challenges bring."" to hr"
,,,"""I am a channel for creativity and inspiration.""",positive ,,"Translated: ""I am a channel for creativity and inspiration."" to bg","Translated: ""I am a channel for creativity and inspiration."" to hr"
,,,"""I am a magnet for success, and success is drawn to me.""",positive ,,"Translated: ""I am a magnet for success, and success is drawn to me."" to bg","Translated: ""I am a magnet for success, and success is drawn to me."" to hr"
,,,"""I am a vessel of positive energy, and I radiate positivity.""",positive ,,"Translated: ""I am a vessel of positive energy, and I radiate positivity."" to bg","Translated: ""I am a vessel of positive energy, and I radiate positivity."" to hr"
,,,"""I am at peace with my past, present, and future.""",positive ,,"Translated: ""I am at peace with my past, present, and future."" to bg","Translated: ""I am at peace with my past, present, and future."" to hr"
,,,"""I am a beacon of light, guiding myself and others.""",positive ,,"Translated: ""I am a beacon of light, guiding myself and others."" to bg","Translated: ""I am a beacon of light, guiding myself and others."" to hr"
,,,"""I am deserving of joy and fulfillment in my life.""",positive ,,"Translated: ""I am deserving of joy and fulfillment in my life."" to bg","Translated: ""I am deserving of joy and fulfillment in my life."" to hr"
,,,"""I am open to the abundance that life has to offer.""",positive ,,"Translated: ""I am open to the abundance that life has to offer."" to bg","Translated: ""I am open to the abundance that life has to offer."" to hr"
,,,"""I am a source of strength and resilience.""",positive ,,"Translated: ""I am a source of strength and resilience."" to bg","Translated: ""I am a source of strength and resilience."" to hr"
,,,"""I am a positive influence on the world around me.""",positive ,,"Translated: ""I am a positive influence on the world around me."" to bg","Translated: ""I am a positive influence on the world around me."" to hr"
,,,"""I am open to receiving the blessings of each day.""",positive ,,"Translated: ""I am open to receiving the blessings of each day."" to bg","Translated: ""I am open to receiving the blessings of each day."" to hr"
,,,"""I am confident in my abilities and trust in my journey.""",positive ,,"Translated: ""I am confident in my abilities and trust in my journey."" to bg","Translated: ""I am confident in my abilities and trust in my journey."" to hr"
,,,"""I am a vessel of love, and I attract loving connections.""",positive ,,"Translated: ""I am a vessel of love, and I attract loving connections."" to bg","Translated: ""I am a vessel of love, and I attract loving connections."" to hr"
,,,"""I am aligned with the energy of success and prosperity.""",positive ,,"Translated: ""I am aligned with the energy of success and prosperity."" to bg","Translated: ""I am aligned with the energy of success and prosperity."" to hr"
,,,"""I am open to the opportunities that come my way.""",positive ,,"Translated: ""I am open to the opportunities that come my way."" to bg","Translated: ""I am open to the opportunities that come my way."" to hr"
,,,"""I am a beacon of positivity, inspiring those around me.""",positive ,,"Translated: ""I am a beacon of positivity, inspiring those around me."" to bg","Translated: ""I am a beacon of positivity, inspiring those around me."" to hr"
,,,"""I am grateful for the love and support in my life.""",positive ,,"Translated: ""I am grateful for the love and support in my life."" to bg","Translated: ""I am grateful for the love and support in my life."" to hr"
,,,"""I am a source of inspiration for myself and others.""",positive ,,"Translated: ""I am a source of inspiration for myself and others."" to bg","Translated: ""I am a source of inspiration for myself and others."" to hr"
,,,"""I am a magnet for positive energy and good vibes.""",positive ,,"Translated: ""I am a magnet for positive energy and good vibes."" to bg","Translated: ""I am a magnet for positive energy and good vibes."" to hr"
,,,"""I am surrounded by love and support from the universe.""",positive ,,"Translated: ""I am surrounded by love and support from the universe."" to bg","Translated: ""I am surrounded by love and support from the universe."" to hr"
,,,"""I am worthy of all the good things life has to offer.""",positive ,,"Translated: ""I am worthy of all the good things life has to offer."" to bg","Translated: ""I am worthy of all the good things life has to offer."" to hr"
,,,"""I trust the journey of my life; it is unfolding perfectly.""",positive ,,"Translated: ""I trust the journey of my life; it is unfolding perfectly."" to bg","Translated: ""I trust the journey of my life; it is unfolding perfectly."" to hr"
,,,"""I am a source of inspiration for myself and others.""",positive ,,"Translated: ""I am a source of inspiration for myself and others."" to bg","Translated: ""I am a source of inspiration for myself and others."" to hr"
,,,"""Abundance flows into my life effortlessly and naturally.""",positive ,,"Translated: ""Abundance flows into my life effortlessly and naturally."" to bg","Translated: ""Abundance flows into my life effortlessly and naturally."" to hr"
,,,"""I am open to receiving miracles in every aspect of my life.""",positive ,,"Translated: ""I am open to receiving miracles in every aspect of my life."" to bg","Translated: ""I am open to receiving miracles in every aspect of my life."" to hr"
,,,"""I am a beacon of light, spreading positivity wherever I go.""",positive ,,"Translated: ""I am a beacon of light, spreading positivity wherever I go."" to bg","Translated: ""I am a beacon of light, spreading positivity wherever I go."" to hr"
,,,"""I attract positive people and circumstances into my life.""",positive ,,"Translated: ""I attract positive people and circumstances into my life."" to bg","Translated: ""I attract positive people and circumstances into my life."" to hr"
,,,"""My possibilities are endless, and I create my reality.""",positive ,,"Translated: ""My possibilities are endless, and I create my reality."" to bg","Translated: ""My possibilities are endless, and I create my reality."" to hr"
,,,"""I am a vessel of love, and I attract loving relationships.""",positive ,,"Translated: ""I am a vessel of love, and I attract loving relationships."" to bg","Translated: ""I am a vessel of love, and I attract loving relationships."" to hr"
,,,"""I am grateful for the abundance that surrounds me.""",positive ,,"Translated: ""I am grateful for the abundance that surrounds me."" to bg","Translated: ""I am grateful for the abundance that surrounds me."" to hr"
,,,"""I am a master of my thoughts and create my own happiness.""",positive ,,"Translated: ""I am a master of my thoughts and create my own happiness."" to bg","Translated: ""I am a master of my thoughts and create my own happiness."" to hr"
,,,"""Every challenge I face is an opportunity for growth.""",positive ,,"Translated: ""Every challenge I face is an opportunity for growth."" to bg","Translated: ""Every challenge I face is an opportunity for growth."" to hr"
,,,"""I am a powerful creator, shaping my destiny with intention.""",positive ,,"Translated: ""I am a powerful creator, shaping my destiny with intention."" to bg","Translated: ""I am a powerful creator, shaping my destiny with intention."" to hr"
,,,"""I am in control of my actions and reactions.""",positive ,,"Translated: ""I am in control of my actions and reactions."" to bg","Translated: ""I am in control of my actions and reactions."" to hr"
,,,"""I am open to the infinite possibilities of the universe.""",positive ,,"Translated: ""I am open to the infinite possibilities of the universe."" to bg","Translated: ""I am open to the infinite possibilities of the universe."" to hr"
,,,"""I am resilient, and I overcome obstacles with ease.""",positive ,,"Translated: ""I am resilient, and I overcome obstacles with ease."" to bg","Translated: ""I am resilient, and I overcome obstacles with ease."" to hr"
,,,"""I am deserving of success, and I welcome it with open arms.""",positive ,,"Translated: ""I am deserving of success, and I welcome it with open arms."" to bg","Translated: ""I am deserving of success, and I welcome it with open arms."" to hr"
,,,"""I am a positive force for change, making a difference.""",positive ,,"Translated: ""I am a positive force for change, making a difference."" to bg","Translated: ""I am a positive force for change, making a difference."" to hr"
,,,"""I am confident in my abilities and trust my inner wisdom.""",positive ,,"Translated: ""I am confident in my abilities and trust my inner wisdom."" to bg","Translated: ""I am confident in my abilities and trust my inner wisdom."" to hr"
,,,"""I am a magnet for positive experiences and adventures.""",positive ,,"Translated: ""I am a magnet for positive experiences and adventures."" to bg","Translated: ""I am a magnet for positive experiences and adventures."" to hr"
,,,"""I am aligned with the energy of abundance.""",positive ,,"Translated: ""I am aligned with the energy of abundance."" to bg","Translated: ""I am aligned with the energy of abundance."" to hr"
,,,"""I release all negativity and embrace positivity in my life.""",positive ,,"Translated: ""I release all negativity and embrace positivity in my life."" to bg","Translated: ""I release all negativity and embrace positivity in my life."" to hr"
,,,"""I am a beacon of joy, and I spread happiness to others.""",positive ,,"Translated: ""I am a beacon of joy, and I spread happiness to others."" to bg","Translated: ""I am a beacon of joy, and I spread happiness to others."" to hr"
,,,"""I am open to receiving love and kindness from others.""",positive ,,"Translated: ""I am open to receiving love and kindness from others."" to bg","Translated: ""I am open to receiving love and kindness from others."" to hr"
,,,"""I am a source of peace, and I contribute to a peaceful world.""",positive ,,"Translated: ""I am a source of peace, and I contribute to a peaceful world."" to bg","Translated: ""I am a source of peace, and I contribute to a peaceful world."" to hr"
,,,"""I trust the process of life and let go of all worries.""",positive ,,"Translated: ""I trust the process of life and let go of all worries."" to bg","Translated: ""I trust the process of life and let go of all worries."" to hr"
,,,"""I am grateful for the present moment and all it offers.""",positive ,,"Translated: ""I am grateful for the present moment and all it offers."" to bg","Translated: ""I am grateful for the present moment and all it offers."" to hr"
,,,"""I am a vessel of creativity, and new ideas flow to me.""",positive ,,"Translated: ""I am a vessel of creativity, and new ideas flow to me."" to bg","Translated: ""I am a vessel of creativity, and new ideas flow to me."" to hr"
,,,"""I am not worthy of success and happiness.""",negative,,"Translated: ""I am not worthy of success and happiness."" to bg","Translated: ""I am not worthy of success and happiness."" to hr"
,,,"""I always fail, no matter how hard I try.""",negative,,"Translated: ""I always fail, no matter how hard I try."" to bg","Translated: ""I always fail, no matter how hard I try."" to hr"
,,,"""I am incapable of achieving my goals.""",negative,,"Translated: ""I am incapable of achieving my goals."" to bg","Translated: ""I am incapable of achieving my goals."" to hr"
,,,"""I attract negativity and drama into my life.""",negative,,"Translated: ""I attract negativity and drama into my life."" to bg","Translated: ""I attract negativity and drama into my life."" to hr"
,,,"""I am not lovable, and nobody cares about me.""",negative,,"Translated: ""I am not lovable, and nobody cares about me."" to bg","Translated: ""I am not lovable, and nobody cares about me."" to hr"
,,,"""Success is for others; I am destined to struggle.""",negative,,"Translated: ""Success is for others; I am destined to struggle."" to bg","Translated: ""Success is for others; I am destined to struggle."" to hr"
,,,"""I will never overcome my challenges.""",negative,,"Translated: ""I will never overcome my challenges."" to bg","Translated: ""I will never overcome my challenges."" to hr"
,,,"""I am always rejected in relationships.""",negative,,"Translated: ""I am always rejected in relationships."" to bg","Translated: ""I am always rejected in relationships."" to hr"
,,,"""I am a failure, and nothing will ever change.""",negative,,"Translated: ""I am a failure, and nothing will ever change."" to bg","Translated: ""I am a failure, and nothing will ever change."" to hr"
,,,"""I don't deserve to be happy or fulfilled.""",negative,,"Translated: ""I don't deserve to be happy or fulfilled."" to bg","Translated: ""I don't deserve to be happy or fulfilled."" to hr"
,,,"""I will never be good enough for anyone.""",negative,,"Translated: ""I will never be good enough for anyone."" to bg","Translated: ""I will never be good enough for anyone."" to hr"
,,,"""I am constantly plagued by self-doubt.""",negative,,"Translated: ""I am constantly plagued by self-doubt."" to bg","Translated: ""I am constantly plagued by self-doubt."" to hr"
,,,"""My future is bleak, and I see no way out.""",negative,,"Translated: ""My future is bleak, and I see no way out."" to bg","Translated: ""My future is bleak, and I see no way out."" to hr"
,,,"""I am burdened by constant disappointment.""",negative,,"Translated: ""I am burdened by constant disappointment."" to bg","Translated: ""I am burdened by constant disappointment."" to hr"
,,,"""I am not intelligent enough to succeed.""",negative,,"Translated: ""I am not intelligent enough to succeed."" to bg","Translated: ""I am not intelligent enough to succeed."" to hr"
,,,"""I am always overlooked and forgotten.""",negative,,"Translated: ""I am always overlooked and forgotten."" to bg","Translated: ""I am always overlooked and forgotten."" to hr"
,,,"""I am stuck, and there's no way to move forward.""",negative,,"Translated: ""I am stuck, and there's no way to move forward."" to bg","Translated: ""I am stuck, and there's no way to move forward."" to hr"
,,,"""I am destined to be alone and lonely.""",negative,,"Translated: ""I am destined to be alone and lonely."" to bg","Translated: ""I am destined to be alone and lonely."" to hr"
,,,"""Nothing ever goes right for me.""",negative,,"Translated: ""Nothing ever goes right for me."" to bg","Translated: ""Nothing ever goes right for me."" to hr"
,,,"""I am a magnet for failure and disappointment.""",negative,,"Translated: ""I am a magnet for failure and disappointment."" to bg","Translated: ""I am a magnet for failure and disappointment."" to hr"
,,,"""I don't have the skills or talents to succeed.""",negative,,"Translated: ""I don't have the skills or talents to succeed."" to bg","Translated: ""I don't have the skills or talents to succeed."" to hr"
,,,"""I am always judged and criticized by others.""",negative,,"Translated: ""I am always judged and criticized by others."" to bg","Translated: ""I am always judged and criticized by others."" to hr"
,,,"""I will never be able to change my circumstances.""",negative,,"Translated: ""I will never be able to change my circumstances."" to bg","Translated: ""I will never be able to change my circumstances."" to hr"
,,,"""I am a victim of circumstances beyond my control.""",negative,,"Translated: ""I am a victim of circumstances beyond my control."" to bg","Translated: ""I am a victim of circumstances beyond my control."" to hr"
,,,"""Success is for lucky people, not for me.""",negative,,"Translated: ""Success is for lucky people, not for me."" to bg","Translated: ""Success is for lucky people, not for me."" to hr"
,,,"""I am weighed down by regret and guilt.""",negative,,"Translated: ""I am weighed down by regret and guilt."" to bg","Translated: ""I am weighed down by regret and guilt."" to hr"
,,,"""I am not deserving of love and happiness.""",negative,,"Translated: ""I am not deserving of love and happiness."" to bg","Translated: ""I am not deserving of love and happiness."" to hr"
,,,"""I am powerless to make positive changes in my life.""",negative,,"Translated: ""I am powerless to make positive changes in my life."" to bg","Translated: ""I am powerless to make positive changes in my life."" to hr"
,,,"""I am always the target of bad luck.""",negative,,"Translated: ""I am always the target of bad luck."" to bg","Translated: ""I am always the target of bad luck."" to hr"
,,,"""I am a constant source of disappointment to others.""",negative,,"Translated: ""I am a constant source of disappointment to others."" to bg","Translated: ""I am a constant source of disappointment to others."" to hr"
,,,"""I will never be able to achieve my dreams.""",negative,,"Translated: ""I will never be able to achieve my dreams."" to bg","Translated: ""I will never be able to achieve my dreams."" to hr"
,,,"""I am unworthy of success and prosperity.""",negative,,"Translated: ""I am unworthy of success and prosperity."" to bg","Translated: ""I am unworthy of success and prosperity."" to hr"
,,,"""I am always overlooked and underestimated.""",negative,,"Translated: ""I am always overlooked and underestimated."" to bg","Translated: ""I am always overlooked and underestimated."" to hr"
,,,"""I am destined to be stuck in this situation forever.""",negative,,"Translated: ""I am destined to be stuck in this situation forever."" to bg","Translated: ""I am destined to be stuck in this situation forever."" to hr"
,,,"""I am incapable of making the right decisions.""",negative,,"Translated: ""I am incapable of making the right decisions."" to bg","Translated: ""I am incapable of making the right decisions."" to hr"
,,,"""I am a failure in every aspect of my life.""",negative,,"Translated: ""I am a failure in every aspect of my life."" to bg","Translated: ""I am a failure in every aspect of my life."" to hr"
,,,"""Success is reserved for those luckier than me.""",negative,,"Translated: ""Success is reserved for those luckier than me."" to bg","Translated: ""Success is reserved for those luckier than me."" to hr"
,,,"""I am incapable of learning from my mistakes.""",negative,,"Translated: ""I am incapable of learning from my mistakes."" to bg","Translated: ""I am incapable of learning from my mistakes."" to hr"
,,,"""I am always abandoned and left behind.""",negative,,"Translated: ""I am always abandoned and left behind."" to bg","Translated: ""I am always abandoned and left behind."" to hr"
,,,"""I am unlovable and don't deserve happiness.""",negative,,"Translated: ""I am unlovable and don't deserve happiness."" to bg","Translated: ""I am unlovable and don't deserve happiness."" to hr"
,,,"""I am destined to repeat the same mistakes.""",negative,,"Translated: ""I am destined to repeat the same mistakes."" to bg","Translated: ""I am destined to repeat the same mistakes."" to hr"
,,,"""I am always on the verge of a disaster.""",negative,,"Translated: ""I am always on the verge of a disaster."" to bg","Translated: ""I am always on the verge of a disaster."" to hr"
,,,"""I am constantly surrounded by negativity.""",negative,,"Translated: ""I am constantly surrounded by negativity."" to bg","Translated: ""I am constantly surrounded by negativity."" to hr"
,,,"""I am incapable of achieving true happiness.""",negative,,"Translated: ""I am incapable of achieving true happiness."" to bg","Translated: ""I am incapable of achieving true happiness."" to hr"
,,,"""I am a burden to those around me.""",negative,,"Translated: ""I am a burden to those around me."" to bg","Translated: ""I am a burden to those around me."" to hr"
,,,"""I am stuck in a cycle of never-ending problems.""",negative,,"Translated: ""I am stuck in a cycle of never-ending problems."" to bg","Translated: ""I am stuck in a cycle of never-ending problems."" to hr"
,,,"""I will never be able to overcome my fears.""",negative,,"Translated: ""I will never be able to overcome my fears."" to bg","Translated: ""I will never be able to overcome my fears."" to hr"
,,,"""I am constantly rejected and unappreciated.""",negative,,"Translated: ""I am constantly rejected and unappreciated."" to bg","Translated: ""I am constantly rejected and unappreciated."" to hr"
,,,"""I am destined to live a life of mediocrity.""",negative,,"Translated: ""I am destined to live a life of mediocrity."" to bg","Translated: ""I am destined to live a life of mediocrity."" to hr"
,,,"""I am not valuable or significant in any way.""",negative,,"Translated: ""I am not valuable or significant in any way."" to bg","Translated: ""I am not valuable or significant in any way."" to hr"
,,,"""I am plagued by a constant sense of inadequacy.""",negative,,"Translated: ""I am plagued by a constant sense of inadequacy."" to bg","Translated: ""I am plagued by a constant sense of inadequacy."" to hr"
,,,"""I will never be able to break free from my past.""",negative,,"Translated: ""I will never be able to break free from my past."" to bg","Translated: ""I will never be able to break free from my past."" to hr"
,,,"""I am incapable of positive change.""",negative,,"Translated: ""I am incapable of positive change."" to bg","Translated: ""I am incapable of positive change."" to hr"
,,,"""I am always attracting negativity and chaos.""",negative,,"Translated: ""I am always attracting negativity and chaos."" to bg","Translated: ""I am always attracting negativity and chaos."" to hr"
,,,"""I am destined to live a life of regret.""",negative,,"Translated: ""I am destined to live a life of regret."" to bg","Translated: ""I am destined to live a life of regret."" to hr"
,,,"""I am always the victim in every situation.""",negative,,"Translated: ""I am always the victim in every situation."" to bg","Translated: ""I am always the victim in every situation."" to hr"
,,,"""I am incapable of achieving my true potential.""",negative,,"Translated: ""I am incapable of achieving my true potential."" to bg","Translated: ""I am incapable of achieving my true potential."" to hr"
,,,"""I will never be able to make a difference in the world.""",negative,,"Translated: ""I will never be able to make a difference in the world."" to bg","Translated: ""I will never be able to make a difference in the world."" to hr"
,,,"""I am constantly sabotaging my own success.""",negative,,"Translated: ""I am constantly sabotaging my own success."" to bg","Translated: ""I am constantly sabotaging my own success."" to hr"
,,,"""I am destined to be misunderstood by others.""",negative,,"Translated: ""I am destined to be misunderstood by others."" to bg","Translated: ""I am destined to be misunderstood by others."" to hr"
,,,"""I am plagued by a sense of worthlessness.""",negative,,"Translated: ""I am plagued by a sense of worthlessness."" to bg","Translated: ""I am plagued by a sense of worthlessness."" to hr"
,,,"""I will never be able to escape my problems.""",negative,,"Translated: ""I will never be able to escape my problems."" to bg","Translated: ""I will never be able to escape my problems."" to hr"
,,,"""I am incapable of finding true happiness.""",negative,,"Translated: ""I am incapable of finding true happiness."" to bg","Translated: ""I am incapable of finding true happiness."" to hr"
,,,"""I am always rejected and unappreciated.""",negative,,"Translated: ""I am always rejected and unappreciated."" to bg","Translated: ""I am always rejected and unappreciated."" to hr"
,,,"""I am a constant disappointment to those around me.""",negative,,"Translated: ""I am a constant disappointment to those around me."" to bg","Translated: ""I am a constant disappointment to those around me."" to hr"
,,,"""I will never be able to overcome my insecurities.""",negative,,"Translated: ""I will never be able to overcome my insecurities."" to bg","Translated: ""I will never be able to overcome my insecurities."" to hr"
,,,"""I am stuck in a never-ending cycle of negativity.""",negative,,"Translated: ""I am stuck in a never-ending cycle of negativity."" to bg","Translated: ""I am stuck in a never-ending cycle of negativity."" to hr"
,,,"""I am not worthy of love and affection.""",negative,,"Translated: ""I am not worthy of love and affection."" to bg","Translated: ""I am not worthy of love and affection."" to hr"
,,,"""I am incapable of achieving lasting happiness.""",negative,,"Translated: ""I am incapable of achieving lasting happiness."" to bg","Translated: ""I am incapable of achieving lasting happiness."" to hr"
,,,"""I am always attracting toxic relationships.""",negative,,"Translated: ""I am always attracting toxic relationships."" to bg","Translated: ""I am always attracting toxic relationships."" to hr"
,,,"""I am a failure, and success is not meant for me.""",negative,,"Translated: ""I am a failure, and success is not meant for me."" to bg","Translated: ""I am a failure, and success is not meant for me."" to hr"
,,,"""I will never be able to change my circumstances.""",negative,,"Translated: ""I will never be able to change my circumstances."" to bg","Translated: ""I will never be able to change my circumstances."" to hr"
,,,"""I am constantly haunted by my past mistakes.""",negative,,"Translated: ""I am constantly haunted by my past mistakes."" to bg","Translated: ""I am constantly haunted by my past mistakes."" to hr"
,,,"""I am incapable of breaking free from my limitations.""",negative,,"Translated: ""I am incapable of breaking free from my limitations."" to bg","Translated: ""I am incapable of breaking free from my limitations."" to hr"
,,,"""I am stuck in a life of unfulfilling mediocrity.""",negative,,"Translated: ""I am stuck in a life of unfulfilling mediocrity."" to bg","Translated: ""I am stuck in a life of unfulfilling mediocrity."" to hr"
,,,"""I am always overlooked and ignored.""",negative,,"Translated: ""I am always overlooked and ignored."" to bg","Translated: ""I am always overlooked and ignored."" to hr"
,,,"""I am destined to live a life of hardship.""",negative,,"Translated: ""I am destined to live a life of hardship."" to bg","Translated: ""I am destined to live a life of hardship."" to hr"
,,,"""I am incapable of achieving my goals and dreams.""",negative,,"Translated: ""I am incapable of achieving my goals and dreams."" to bg","Translated: ""I am incapable of achieving my goals and dreams."" to hr"
,,,"""I am constantly surrounded by negative energy.""",negative,,"Translated: ""I am constantly surrounded by negative energy."" to bg","Translated: ""I am constantly surrounded by negative energy."" to hr"
,,,"""I am a magnet for failure and disappointment.""",negative,,"Translated: ""I am a magnet for failure and disappointment."" to bg","Translated: ""I am a magnet for failure and disappointment."" to hr"
,,,"""I will never be able to escape my own negativity.""",negative,,"Translated: ""I will never be able to escape my own negativity."" to bg","Translated: ""I will never be able to escape my own negativity."" to hr"
,,,"""I am incapable of creating positive change.""",negative,,"Translated: ""I am incapable of creating positive change."" to bg","Translated: ""I am incapable of creating positive change."" to hr"
,,,"""I am always attracting drama and conflict.""",negative,,"Translated: ""I am always attracting drama and conflict."" to bg","Translated: ""I am always attracting drama and conflict."" to hr"
,,,"""I am destined to be forever unhappy.""",negative,,"Translated: ""I am destined to be forever unhappy."" to bg","Translated: ""I am destined to be forever unhappy."" to hr"
